#,;;,ru,bg,cs,da,de,en,es,et,fi,fr,hu,id,it,ja,ko,nl,pl,pt,ro,sv,tr,uk,zh
~9a14dea7,,По документам всё сходится. Вас назначила сюда сама Императрица.,,,,,"According to the documents, everything matches. You were appointed here by the Empress herself.",,,,,,,,,,,,,,,,,
~7b4c36fe,,Это какая-то ошибка.,,,,,This is some kind of mistake.,,,,,,,,,,,,,,,,,
~19ed5dd,,Любое неповиновение будет рассматриваться как личное оскорбление самой Императрицы.,,,,,Any disobedience will be considered a personal insult to the Empress herself.,,,,,,,,,,,,,,,,,
~256b58c8,,За отказ от работы Вы будете приговорены к испепелению космолазерами.,,,,,"For refusing to work, you will be sentenced to incineration by cosmolasers.",,,,,,,,,,,,,,,,,
~ba202302,,А это ОЧЕНЬ больно.,,,,,And that is VERY painful.,,,,,,,,,,,,,,,,,
~f546033,,(про себя) Какое-то тупое название. Космолазер.,,,,,(thoughts) What a stupid name. Cosmolaser.,,,,,,,,,,,,,,,,,
~e652b15,,Хорошо… Я понял вас! Значит буду тюремным надзирателем.,,,,,"Fine... I got it! So, I'm going to be a prison observer.",,,,,,,,,,,,,,,,,
~3ea2165c,,"Если бы меня назначали на такую работу, я бы точно так не капризничала!",,,,,"If I were appointed to such a job, I definitely wouldn't be so cranky!",,,,,,,,,,,,,,,,,
~4edfb652,,(про себя) Бред какой-то. Надзиратель тюрьмы. Назначение от Императрицы. Это какая-то шутка?,,,,,(thoughts) This is nonsense. Prison observer. Appointment from the Empress. Is this some kind of joke?,,,,,,,,,,,,,,,,,
~6c4dbd22,,(про себя) Я наверное сплю. Те антидепрессанты в переулке видимо оказались слишком сильными.,,,,,(thoughts) I must be dreaming. Those antidepressants in the alley must have been too strong.,,,,,,,,,,,,,,,,,
~984d819f,,"В общем, добро пожаловать, надзиратель.",,,,,"Anyway, welcome, observer.",,,,,,,,,,,,,,,,,
~79ce1bbb,,Теперь мне надо сделать небольшой отчёт.,,,,,Now I need to make a short report.,,,,,,,,,,,,,,,,,
~7f47c2a1,,Ваше имя? Возраст? Размер тапок?,,,,,Your name? Age? Slipper size?,,,,,,,,,,,,,,,,,
~280d25de,,"(про себя) Они перенесли меня в суперсекретную тюрьму, но не могут сами заполнить отчёт. Типичные бюрократы.",,,,,"(thoughts) They transferred me to a super-secret prison, but they can't fill out a report themselves. Typical bureaucrats.",,,,,,,,,,,,,,,,,
~ac9b18f9,,Э-э... Джерри. 29. Сорок третий размер. А это обязательно?..,,,,,Uh... Jerry. 29. Size forty-three. Is this mandatory?..,,,,,,,,,,,,,,,,,
~32b468c7,,"В Галактическом Империуме обязательно всё, кроме хорошего настроения.",,,,,"In the Galactic Imperium, everything is mandatory except a good mood.",,,,,,,,,,,,,,,,,
~f2830067,,Теперь можем пройти на инструктаж.,,,,,Now we can proceed to the briefing.,,,,,,,,,,,,,,,,,
~4c688484,,"Если Вы не читали 10 000-страничный устав, я в двух словах объясню:",,,,,"If you haven't read the 10,000-page regulations, I'll explain it in a few words:",,,,,,,,,,,,,,,,,
~7887a824,,"— Не трогайте ничего руками, если не уверены, что это не взорвётся.",,,,,— Don't touch anything with your hands if you're not sure it won't explode.,,,,,,,,,,,,,,,,,
~1e10d2d9,,— Никаких отгулов и больничных. Киберимпланты не входят в вашу медицинскую страховку.,,,,,— No time off or sick leave. Cyber-implants are not covered by your medical insurance.,,,,,,,,,,,,,,,,,
~63351dd7,,— За потерю отчёта — публичное унижение. Варианты наказаний уточняйте у Императрицы.,,,,,— For losing a report — public humiliation. Check with the Empress for punishment options.,,,,,,,,,,,,,,,,,
~d0cf991b,,Жестко. И это всё?,,,,,Harsh. And that's all?,,,,,,,,,,,,,,,,,
~a089739e,,Нет!,,,,,No!,,,,,,,,,,,,,,,,,
~716d4a98,,(действие) Салия резко нагибается. Становятся видны её формы.,,,,,(action) Salia bends down sharply. Her curves become visible.,,,,,,,,,,,,,,,,,
~381ae97,,(про себя) Ухх.. какие формы. Заглядение.,,,,,(thoughts) Ooh... what curves. A sight to behold.,,,,,,,,,,,,,,,,,
~6ec99761,,"(про себя) Чёрт, Джер, не смотри слишком долго.",,,,,"(thoughts) Damn it, Jer, don't stare too long.",,,,,,,,,,,,,,,,,
~47b3b520,,"(про себя) Она же тебя сразу испепелит либо взглядом, либо какой-нибудь сайфайной штукой.",,,,,"(thoughts) She'll incinerate you right away, either with her gaze or some sci-fi thing.",,,,,,,,,,,,,,,,,
~c28bd736,,(про себя) Но эта задница… Она так и манит.,,,,,(thoughts) But that ass... It's so tempting.,,,,,,,,,,,,,,,,,
~4f5321f0,,Поздравляю! Вы прошли проверку на внимательность. Ваш взгляд оставался дольше 5 секунд на нетипичном объекте. Ваша бдительность заслуживает похвалы.,,,,,Congratulations! You've passed the attentiveness test. Your gaze remained on an atypical object for longer than 5 seconds. Your vigilance is commendable.,,,,,,,,,,,,,,,,,
~1f3aa3a9,,(про себя) Хоть что-то хорошее.,,,,,"(thoughts) Well, at least something good.",,,,,,,,,,,,,,,,,
~933506d7,,На этом инструктаж можно завершать. Пройдите в свой кабинет.,,,,,This concludes the briefing. Please proceed to your office.,,,,,,,,,,,,,,,,,
~39844ee6,,Завтра поступят первые заключенные.,,,,,The first prisoners will arrive tomorrow.,,,,,,,,,,,,,,,,,
~54b9bb73,,Передохните и подготовьте для них тюремное пространство.,,,,,Take a break and prepare the prison space for them.,,,,,,,,,,,,,,,,,
~9d56685e,,Это в каком смысле?,,,,,What do you mean by that?,,,,,,,,,,,,,,,,,
~ac825b98,,Убраться здесь надо.,,,,,You need to clean up here.,,,,,,,,,,,,,,,,,
~db48bc90,,Ээ… А разве не для этого мне нужен ассистент-помощник?,,,,,Uh... isn't that what I need an aid-assistant for?,,,,,,,,,,,,,,,,,
~e2441df2,,Мне нужно заполнить несколько тысяч отчётов до следующей пятницы. Хотите это сделать вместо меня?,,,,,I need to fill out several thousand reports by next Friday. Do you want to do it instead of me?,,,,,,,,,,,,,,,,,
~cf187539,,"Пожалуй, я откажусь.",,,,,I think I'll pass.,,,,,,,,,,,,,,,,,
~473363c1,,(про себя) Пора осознать всё происходящее.,,,,,(thoughts) Time to process everything that's happening.,,,,,,,,,,,,,,,,,
~458bf651,,"(про себя) Это стопроцентно либо ошибка, либо розыгрыш. Как я мог стать надзирателем просто так? Нет, ну я, конечно, обаятельный…",,,,,"(thoughts) This is 100% either a mistake or a prank. How could I become an observer just like that? No, I mean, I am charming, of course...",,,,,,,,,,,,,,,,,
~52c23738,,(про себя) Бредятина.,,,,,(thoughts) Rubbish.,,,,,,,,,,,,,,,,,
~721d05a1,,"Здравствуй, Джерри. Я твоя Богиня-Императрица.",,,,,"Hello, Jerry. I am your Goddess-Empress.",,,,,,,,,,,,,,,,,
~8f362658,,"(про себя) БОЖЕ, ЭТО САМА БОГИНЯ-ИМПЕРАТРИЦА ОРГАЗМУСИКА ВТОРАЯ!!!",,,,,"(thoughts) MY GOD, IT'S THE GODDESS-EMPRESS ORGASMUSICA THE SECOND HERSELF!!!",,,,,,,,,,,,,,,,,
~d2890223,,"Я в вашем распоряжении, Богиня-Императрица!",,,,,"I am at your disposal, Goddess-Empress!",,,,,,,,,,,,,,,,,
~f225c3fe,,"Твоя покорность меня радует. Должно быть тебе пока непонятно, какую роль я уготовила для тебя… Но это временно.",,,,,Your submissiveness pleases me. It must be unclear to you yet what role I have prepared for you... But that's temporary.,,,,,,,,,,,,,,,,,
~3649fb21,,Видишь ли… Недавно меня посетила гениальная идея.,,,,,"You see... Recently, a brilliant idea came to me.",,,,,,,,,,,,,,,,,
~a9e327,,Я решила создать тюрьму для самых опасных преступников Галактики.,,,,,I decided to create a prison for the most dangerous criminals in the Galaxy.,,,,,,,,,,,,,,,,,
~67ffeda0,,Но мало их изолировать. Я решила перевоспитать самых отъявленных негодяев Вселенной иначе.,,,,,But isolating them is not enough. I decided to reform the most notorious villains of the Universe differently.,,,,,,,,,,,,,,,,,
~22fa067a,,"А как можно перевоспитать преступников, как не любовью? Нам нужен был похотливый, жадный до страсти человек, который с удовольствием начнет с ними роман.",,,,,"And how else can one reform criminals if not with love? We needed a lustful, passion-hungry person who would gladly start a romance with them.",,,,,,,,,,,,,,,,,
~d5208154,,Для этого мы выбрали тебя. Наши сверхсекретные ИИ Агенты засекли за тобой аномальную активность на порно сайтах.,,,,,"For this, we chose you. Our super-secret AI Agents detected abnormal activity on porn sites from you.",,,,,,,,,,,,,,,,,
~fcc3379e,,"Я поняла — ты тот самый трахарь, который поможет сделать Вселенную лучше!",,,,,I realized — you are that very fucker who will help make the Universe better!,,,,,,,,,,,,,,,,,
~537a6795,,"Силой твоей похоти, ты перевоспитаешь преступников и сделаешь из них достойных граждан. Ты понял меня?",,,,,"By the power of your lust, you will reform the criminals and make them decent citizens. Do you understand me?",,,,,,,,,,,,,,,,,
~36884de0,,Ээ…,,,,,Uh...,,,,,,,,,,,,,,,,,
~d1f837b9,,Можешь ничего не говорить. Я всё вижу по твоим глазам. Твой член станет оружием добра для нашей страны!,,,,,You don't have to say anything. I can see it all in your eyes. Your cock will become a weapon of good for our country!,,,,,,,,,,,,,,,,,
~e230313c,,Завтра прибудет первая преступница. Подготовь для неё камеру.,,,,,The first female criminal will arrive tomorrow. Prepare a cell for her.,,,,,,,,,,,,,,,,,
~57b44e3b,,Я жду невероятных результатов.,,,,,I expect incredible results.,,,,,,,,,,,,,,,,,
~9c1dfe48,,Только секс и любовь спасут нашу нацию!!!,,,,,Only sex and love will save our nation!!!,,,,,,,,,,,,,,,,,
~e085b8f5,,"Конечно, исключительно добровольный, равноправный и взаимный.",,,,,"Of course, strictly voluntary, equal, and mutual.",,,,,,,,,,,,,,,,,
~b25d6496,,(про себя) В наше время даже порнушку спокойно не посмотришь…,,,,,(thoughts) These days you can't even watch some porn in peace...,,,,,,,,,,,,,,,,,
~83ed14c,,"(про себя) Боже, во что меня ввязывают. С другой стороны…",,,,,"(thoughts) God, what am I being dragged into. On the other hand...",,,,,,,,,,,,,,,,,
~61a3b4c8,,"(про себя) Это лучше, чем работать на кибердоставке! С Трахарем они точно не прогадали!",,,,,(thoughts) This is better than working in cyber-delivery! They certainly didn't go wrong with a Fucker!,,,,,,,,,,,,,,,,,
~80c6cef5,,(про себя) Слава Богине-Императрице!,,,,,(thoughts) Glory to the Goddess-Empress!,,,,,,,,,,,,,,,,,
